observationDate,observationAbout,variableMeasured,value,observationPeriod,measurementMethod,unit,scalingFactor
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week01,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week02,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week03,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week04,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week05,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week06,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week07,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week08,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week09,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week10,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week11,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week12,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week13,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week14,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week15,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week16,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week17,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week18,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week19,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week20,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week21,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week22,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week23,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week24,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week25,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week26,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,5,P1W,dcs:EurostatWeekly_Week27,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week28,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week29,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week30,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week31,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week32,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week33,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week34,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week35,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week36,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week37,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week38,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week39,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,5,P1W,dcs:EurostatWeekly_Week40,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week41,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week42,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week43,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week44,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week45,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week46,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week47,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week48,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week49,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week50,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week51,dcs:Number,
2010,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week52,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week01,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week02,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week03,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week04,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week05,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week06,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,5,P1W,dcs:EurostatWeekly_Week07,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week08,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week09,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week10,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week11,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week12,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week13,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week14,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week15,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week16,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week17,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,6,P1W,dcs:EurostatWeekly_Week18,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,4,P1W,dcs:EurostatWeekly_Week19,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week20,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week21,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week22,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,5,P1W,dcs:EurostatWeekly_Week23,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week24,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week25,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week26,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week27,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week28,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week29,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week30,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,2,P1W,dcs:EurostatWeekly_Week31,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week32,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week33,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week34,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,5,P1W,dcs:EurostatWeekly_Week35,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week36,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week37,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week38,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week39,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week40,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week41,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,1,P1W,dcs:EurostatWeekly_Week42,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week43,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,6,P1W,dcs:EurostatWeekly_Week44,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,3,P1W,dcs:EurostatWeekly_Week45,dcs:Number,
2011,dcid:country/AND,dcid:Count_Person_Female_Deceased,0,P1W,dcs:EurostatWeekly_Week46,dcs:Number,
